x,y,speed
712,36,2.8225772175018227
720,63,1.7600159800410904
726,82,1.660404903764273
731,95,0.8705242673240075
742,114,1.2914410823588323
751,121,0.6706914265289047
774,125,1.459077191241094
801,128,1.509230856356236
874,125,4.566351114401957
913,116,2.5015620120236877
946,105,2.0461796624618924
1007,83,3.814468902793759
1023,78,0.9860620361317771
1428,28,0.33421355287044563
1431,27,0.0010829718014275273
1438,24,0.6923430096239916
1463,18,1.977686174181914
1488,14,1.4892928119026074
1507,11,1.1314931800983143
1507,7,0.23529411764705882
1507,6,0.0625
1507,7,0.01818181818181818
1507,8,0.037037037037037035
1502,8,0.058823529411764705
1478,8,1.411764705882353
1463,7,0.9395810236483068
1444,6,1.1191939759082616
1423,3,1.2478354962115545
1418,2,0.31868871959954903
1416,1,0.1315334104411641
1412,0,0.24253562503633297
1411,0,0.02
1416,2,0.015084495258079842
1410,17,1.153963887243108
1405,30,0.9948848769417228
1398,42,0.9923174278178432
1392,54,0.7892004626469846
1384,66,0.8483650059915269
1374,83,1.1601813484303543
1371,86,0.2651650429449553
1368,90,0.29411764705882354
1234,588,0.22992113175855852
1233,588,0.0029940119760479044
1231,588,0.15384615384615385
1225,588,0.5
1203,588,1.2941176470588236
1171,581,2.3397627648798855
1134,572,2.2399332664305613
1097,561,2.2706187136022096
1038,537,3.9809114848235447
1013,525,1.6312264263367116
993,514,1.3426720247662738
967,497,1.9415280708761333
962,492,0.4159451654038515
960,486,0.3720326659021623
956,476,0.673145600891813
956,471,0.29411764705882354
964,462,0.708329092870135
881,421,0.32368634436456273
870,413,1.0462669622104188
861,407,0.6362737544936452
851,401,0.6859943405700354
834,390,1.2655285457072867
826,383,0.6253026948667442
815,377,0.7370567109495099
807,374,0.5340002340823456
795,371,0.7276068751089989
792,371,0.17647058823529413
783,370,0.5659615711335886
777,370,0.35294117647058826
768,370,0.5294117647058824
750,370,1.0588235294117647
741,368,0.5762215285808054
721,367,1.1779402585000462
711,366,0.6281172263200556
702,366,0.5294117647058824
693,366,0.5294117647058824
686,366,0.4375
683,366,0.014218009478672985
662,366,1.75
628,366,2.6153846153846154
592,366,2.5714285714285716
558,366,2
510,366,3
497,366,0.7647058823529411
488,366,0.5294117647058824
476,366,0.75
474,366,0.11764705882352941
471,366,0.17647058823529413
470,365,0.0831890330807703
468,365,0.0392156862745098
466,365,0.041666666666666664
465,365,0.015151515151515152
464,365,0.0008210180623973727
463,365,0.05555555555555555
462,365,0.16666666666666666
458,365,0.3076923076923077
455,365,0.23076923076923078
450,366,0.39223227027636803
445,366,0.3333333333333333
441,366,0.3333333333333333
437,366,0.3333333333333333
434,366,0.25
432,366,0.15384615384615385
430,366,0.16666666666666666
427,366,0.23076923076923078
426,366,0.047619047619047616
424,366,0.15384615384615385
423,366,0.02564102564102564
422,366,0.00016539861065167054
418,366,0.3333333333333333
404,366,1.0769230769230769
382,365,1.6940550419650184
356,363,2.005908432370046
328,362,2.5470774047494364
306,361,1.6940550419650184
292,358,1.1931517552730295
284,357,0.6201736729460422
281,357,0.25
278,357,0.23076923076923078
277,356,0.10878565864408424
278,356,0.029411764705882353
283,361,0.5892556509887896
292,372,1.0932823387347612
301,386,1.3869430814244366
308,402,1.3434037843517677
313,418,1.1973610438743008
316,432,1.1013708510212579
318,445,1.0117651106127619
318,456,0.8461538461538461
318,465,0.75
318,472,0.5833333333333334
318,480,0.5714285714285714
316,487,0.9100137361600648
312,495,0.6880209161537815
307,502,0.7168604389202189
303,507,0.4573660169594892
296,511,0.6201736729460422
287,513,0.6146362971528592
278,513,0.75
267,506,1.002954216185023
254,490,1.717960677340692
246,465,2.1874007914011147
241,433,3.59869660904481
238,396,2.855494029733936
238,365,2.5833333333333335
241,340,2.0982797186690285
243,325,1.164057380801658
248,314,0.8630747123996123
253,307,0.6617173282340482
258,303,0.2910511017014931
264,301,0.7027283689263065
272,301,1.3333333333333333
283,302,0.8496431551682508
295,311,1.1538461538461537
311,326,1.8276426832884425
323,345,1.728631158018787
337,374,2.6835403646841027
345,393,1.5858098560067926
348,406,1.0262818510866412
350,418,1.3517250067329376
351,433,1.2527746981977423
351,444,0.8461538461538461
351,453,0.75
348,462,0.5929270612815711
341,472,1.2206555615733703
328,481,1.1293848786315641
313,488,1.2733034890189883
291,494,1.7541160386140584
263,497,2.3466879733881205
237,497,2.1666666666666665
213,487,2
188,474,2.167538892862365
166,453,3.3793125168323446
152,432,1.941450686788302
142,408,2.1666666666666665
138,377,2.6047499346812972
138,353,1.8461538461538463
140,331,1.5779087167410373
151,303,2.1488012794987603
163,282,1.8605210188381267
172,271,1.292060945777445
184,262,1.1538461538461537
200,256,1.4240006242195884
225,255,1.9246147697225853
246,260,1.7989194287435752
271,275,2.0824828195876073
287,297,2.720294101747089
303,322,2.698331287210151
313,346,2
315,366,1.674979270186815
316,383,1.2163847404233146
316,398,1.0714285714285714
316,412,1.1666666666666667
312,422,0.8975274678557507
306,428,0.6060915267313264
301,433,0.5892556509887896
293,436,0.6572310573321177
281,437,0.9262765060609458
266,437,1.1538461538461537
254,437,1
245,435,0.7091957274840682
237,431,0.9938079899999066
233,427,0.43514263457633695
231,425,0.23570226039551587
230,423,0.17200522903844537
227,422,0.26352313834736496
226,421,0.10101525445522108
226,418,0.23076923076923078
226,416,0.15384615384615385
227,415,0.11785113019775793
228,412,0.21081851067789198
233,411,0.46354722850843494
237,408,0.4166666666666667
245,407,0.6718548123582124
250,407,0.38461538461538464
254,407,0.3076923076923077
261,407,0.7777777777777778
264,407,0.25
270,410,0.5160156871153361
